Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
600690 CH Equity,Dynamic,1999,Hardware. Global Household Appliances Competitve Peers,,"16,30508025","1,940262515"
600690 CH Equity,Dynamic,2000,Hardware. Global Household Appliances Competitve Peers,,"24,76080103","2,477744699"
600690 CH Equity,Dynamic,2001,Hardware. Global Household Appliances Competitve Peers,,"11,17557051","1,131680606"
600690 CH Equity,Dynamic,2002,Hardware. Global Household Appliances Competitve Peers,,"9,752969304","0,709820692"
600690 CH Equity,Dynamic,2003,Hardware. Global Household Appliances Competitve Peers,,"8,82853785","0,619406331"
600690 CH Equity,Dynamic,2004,Hardware. Global Household Appliances Competitve Peers,,"7,186952823","0,395414206"
600690 CH Equity,Dynamic,2005,Hardware. Global Household Appliances Competitve Peers,,"7,379851927","0,293439118"
600690 CH Equity,Dynamic,2006,Hardware. Global Household Appliances Competitve Peers,,"9,497053966","0,453582937"
600690 CH Equity,Dynamic,2007,Hardware. Global Household Appliances Competitve Peers,,"24,24694415","0,98717952"
600690 CH Equity,Dynamic,2008,Hardware. Global Household Appliances Competitve Peers,,"7,869669943","0,377117931"
600690 CH Equity,Dynamic,2009,Hardware. Global Household Appliances Competitve Peers,,"11,9214229","0,682963405"
600690 CH Equity,Dynamic,2010,Hardware. Global Household Appliances Competitve Peers,,"10,12769235","0,551938744"
600690 CH Equity,Dynamic,2011,Hardware. Global Household Appliances Competitve Peers,,"5,250659489","0,312534959"
600690 CH Equity,Dynamic,2012,Hardware. Global Household Appliances Competitve Peers,,"6,321168534","0,425710277"
600690 CH Equity,Dynamic,2013,Hardware. Global Household Appliances Competitve Peers,,"8,375894933","0,600645747"
600690 CH Equity,Dynamic,2014,Hardware. Global Household Appliances Competitve Peers,,"6,58772313","0,524233094"
600690 CH Equity,Dynamic,2016,Hardware. Global Household Appliances Competitve Peers,,"10,89752202","0,809069478"
600690 CH Equity,Dynamic,2017,Hardware. Global Household Appliances Competitve Peers,,"11,09991869","0,900981578"
600690 CH Equity,Dynamic,2018,Hardware. Global Household Appliances Competitve Peers,,"8,578834332","0,63656298"
600690 CH Equity,Dynamic,2019,Hardware. Global Household Appliances Competitve Peers,,"11,74049825","0,842940901"
600690 CH Equity,Dynamic,2020,Hardware. Global Household Appliances Competitve Peers,,"13,07468165","1,131450246"
600690 CH Equity,Dynamic,2021,Hardware. Global Household Appliances Competitve Peers,"8,801205878","12,34989927","1,072317648"
600690 CH Equity,Dynamic,2022,Hardware. Global Household Appliances Competitve Peers,"6,919787606","9,074644165","0,816177706"
600690 CH Equity,Dynamic,2023,Hardware. Global Household Appliances Competitve Peers,"5,991995526","6,784199908","0,651503465"
600690 CH Equity,Dynamic,2024,Hardware. Global Household Appliances Competitve Peers,"8,218697136",,
6752 JP Equity,Dynamic,1991,Hardware. Global Household Appliances Competitve Peers,,"5,15983502","0,614279382"
6752 JP Equity,Dynamic,1992,Hardware. Global Household Appliances Competitve Peers,,"5,365453773","0,582947383"
6752 JP Equity,Dynamic,1993,Hardware. Global Household Appliances Competitve Peers,,"7,240765793","0,718729184"
6752 JP Equity,Dynamic,1994,Hardware. Global Household Appliances Competitve Peers,,"5,466389673","0,577489454"
6752 JP Equity,Dynamic,1995,Hardware. Global Household Appliances Competitve Peers,,"7,482074278","0,619035934"
6752 JP Equity,Dynamic,1996,Hardware. Global Household Appliances Competitve Peers,,"6,116796962","0,576581661"
6752 JP Equity,Dynamic,1997,Hardware. Global Household Appliances Competitve Peers,,"6,906100038","0,610525044"
6752 JP Equity,Dynamic,1998,Hardware. Global Household Appliances Competitve Peers,,"8,952129057","0,664180215"
6752 JP Equity,Dynamic,1999,Hardware. Global Household Appliances Competitve Peers,,"12,29796126","0,882865596"
6752 JP Equity,Dynamic,2000,Hardware. Global Household Appliances Competitve Peers,,"8,854301715","0,648383557"
6752 JP Equity,Dynamic,2001,Hardware. Global Household Appliances Competitve Peers,,"21,73873374","0,501084135"
6752 JP Equity,Dynamic,2002,Hardware. Global Household Appliances Competitve Peers,,"4,333508911","0,250999603"
6752 JP Equity,Dynamic,2003,Hardware. Global Household Appliances Competitve Peers,,"6,669672278","0,422369669"
6752 JP Equity,Dynamic,2004,Hardware. Global Household Appliances Competitve Peers,,"5,678992036","0,413174031"
6752 JP Equity,Dynamic,2005,Hardware. Global Household Appliances Competitve Peers,,"7,172195631","0,583553538"
6752 JP Equity,Dynamic,2006,Hardware. Global Household Appliances Competitve Peers,,"5,894555236","0,50299913"
6752 JP Equity,Dynamic,2007,Hardware. Global Household Appliances Competitve Peers,,"4,993175156","0,462495901"
6752 JP Equity,Dynamic,2008,Hardware. Global Household Appliances Competitve Peers,,"4,098958124","0,231025211"
6752 JP Equity,Dynamic,2009,Hardware. Global Household Appliances Competitve Peers,,"8,132006984","0,535765646"
6752 JP Equity,Dynamic,2010,Hardware. Global Household Appliances Competitve Peers,,"4,651569273","0,359873168"
6752 JP Equity,Dynamic,2011,Hardware. Global Household Appliances Competitve Peers,,"6,621422128","0,353180613"
6752 JP Equity,Dynamic,2012,Hardware. Global Household Appliances Competitve Peers,,"4,392346371","0,300902441"
6752 JP Equity,Dynamic,2013,Hardware. Global Household Appliances Competitve Peers,,"4,400189873","0,36183969"
6752 JP Equity,Dynamic,2014,Hardware. Global Household Appliances Competitve Peers,,"5,218352979","0,452124997"
6752 JP Equity,Dynamic,2015,Hardware. Global Household Appliances Competitve Peers,,"4,625165036","0,303386159"
6752 JP Equity,Dynamic,2016,Hardware. Global Household Appliances Competitve Peers,,"5,518503719","0,405167064"
6752 JP Equity,Dynamic,2017,Hardware. Global Household Appliances Competitve Peers,,"5,882654299","0,485090864"
6752 JP Equity,Dynamic,2018,Hardware. Global Household Appliances Competitve Peers,,"3,765148128","0,327778771"
6752 JP Equity,Dynamic,2019,Hardware. Global Household Appliances Competitve Peers,,"3,835669792","0,338693704"
6752 JP Equity,Dynamic,2020,Hardware. Global Household Appliances Competitve Peers,"4,82321013","5,612353464","0,500113019"
6752 JP Equity,Dynamic,2021,Hardware. Global Household Appliances Competitve Peers,"3,732550318","5,142252167","0,493647205"
6752 JP Equity,Dynamic,2022,Hardware. Global Household Appliances Competitve Peers,"4,258486456","5,33005897","0,425839609"
