Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
005930 KS Equity,Dynamic,2013,Hardware. Global Display Panels Compeitive peers,,"2,667138734","0,620802288"
005930 KS Equity,Dynamic,2014,Hardware. Global Display Panels Compeitive peers,,"2,97725389","0,6219781"
005930 KS Equity,Dynamic,2015,Hardware. Global Display Panels Compeitive peers,,"2,285458329","0,539255145"
005930 KS Equity,Dynamic,2016,Hardware. Global Display Panels Compeitive peers,,"3,100062806","0,767136816"
005930 KS Equity,Dynamic,2017,Hardware. Global Display Panels Compeitive peers,"2,252565507","3,273301651","1,035136796"
005930 KS Equity,Dynamic,2018,Hardware. Global Display Panels Compeitive peers,"1,263573838","1,787088066","0,625837922"
005930 KS Equity,Dynamic,2019,Hardware. Global Display Panels Compeitive peers,"2,077478401","4,372450119","1,088670387"
005930 KS Equity,Dynamic,2020,Hardware. Global Display Panels Compeitive peers,"3,209544896","5,842259075","1,636413181"
005930 KS Equity,Dynamic,2021,Hardware. Global Display Panels Compeitive peers,"3,479128772","4,313604821","1,324933023"
005930 KS Equity,Dynamic,2022,Hardware. Global Display Panels Compeitive peers,"2,669902196","2,848031581","0,777278242"
005930 KS Equity,Dynamic,2023,Hardware. Global Display Panels Compeitive peers,"5,178313268","8,831284603","1,542740298"
005930 KS Equity,Dynamic,2024,Hardware. Global Display Panels Compeitive peers,"3,319888748",,
034220 KS Equity,Dynamic,2004,Hardware. Global Display Panels Compeitive peers,,"4,665759804","1,681608481"
034220 KS Equity,Dynamic,2005,Hardware. Global Display Panels Compeitive peers,,"7,671976369","1,722397749"
034220 KS Equity,Dynamic,2006,Hardware. Global Display Panels Compeitive peers,,"7,46188383","1,235999439"
034220 KS Equity,Dynamic,2007,Hardware. Global Display Panels Compeitive peers,,"4,415331145","1,333347024"
034220 KS Equity,Dynamic,2008,Hardware. Global Display Panels Compeitive peers,,"1,863924511","0,491356496"
034220 KS Equity,Dynamic,2009,Hardware. Global Display Panels Compeitive peers,,"3,564358179","0,703980673"
034220 KS Equity,Dynamic,2010,Hardware. Global Display Panels Compeitive peers,,"3,400685241","0,615037506"
034220 KS Equity,Dynamic,2011,Hardware. Global Display Panels Compeitive peers,,"3,799861971","0,451677622"
034220 KS Equity,Dynamic,2012,Hardware. Global Display Panels Compeitive peers,,"2,404668651","0,439782416"
034220 KS Equity,Dynamic,2013,Hardware. Global Display Panels Compeitive peers,,"2,168010404","0,400851957"
