Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
5214 JP Equity,Dynamic,2021,Hardware. Global Display Components,"3,675634627","4,073233639","0,829897311"
5214 JP Equity,Dynamic,2022,Hardware. Global Display Components,"3,888947612","4,047477076","0,687550198"
5214 JP Equity,Dynamic,2023,Hardware. Global Display Components,"7,435627426","11,97907979","1,145178019"
5214 JP Equity,Dynamic,2024,Hardware. Global Display Components,"11,05804904",,
GLW US Equity,Dynamic,1987,Hardware. Global Display Components,,"7,821904463","1,099128331"
GLW US Equity,Dynamic,1988,Hardware. Global Display Components,,"10,11503925","1,639670957"
GLW US Equity,Dynamic,1989,Hardware. Global Display Components,,"10,87916253","1,820627338"
GLW US Equity,Dynamic,1990,Hardware. Global Display Components,,"9,185706026","1,623469272"
GLW US Equity,Dynamic,1991,Hardware. Global Display Components,,"13,86384236","2,619037748"
GLW US Equity,Dynamic,1992,Hardware. Global Display Components,,"11,85429985","2,244796001"
GLW US Equity,Dynamic,1993,Hardware. Global Display Components,,"10,0603265","1,861692954"
GLW US Equity,Dynamic,1994,Hardware. Global Display Components,,"8,770937484","1,83747508"
GLW US Equity,Dynamic,1995,Hardware. Global Display Components,,"12,50671855","2,857603333"
GLW US Equity,Dynamic,1996,Hardware. Global Display Components,,"16,24613908","4,070130561"
GLW US Equity,Dynamic,1997,Hardware. Global Display Components,,"10,91827631","3,006810203"
GLW US Equity,Dynamic,1998,Hardware. Global Display Components,,"13,57024503","3,347638644"
GLW US Equity,Dynamic,1999,Hardware. Global Display Components,,"30,96669171","7,483187093"
GLW US Equity,Dynamic,2000,Hardware. Global Display Components,,"26,57514802","7,191259995"
GLW US Equity,Dynamic,2001,Hardware. Global Display Components,,"24,54352941","1,862986605"
GLW US Equity,Dynamic,2002,Hardware. Global Display Components,,"297,7652381","1,976317952"
GLW US Equity,Dynamic,2003,Hardware. Global Display Components,,"40,61266839","5,073297735"
GLW US Equity,Dynamic,2004,Hardware. Global Display Components,,"19,59210762","4,534551116"
GLW US Equity,Dynamic,2005,Hardware. Global Display Components,,,"6,467298537"
GLW US Equity,Dynamic,2006,Hardware. Global Display Components,,"18,7207186","5,387543487"
GLW US Equity,Dynamic,2007,Hardware. Global Display Components,,"19,09219904","6,089303754"
GLW US Equity,Dynamic,2008,Hardware. Global Display Components,,"7,17499472","2,284707465"
GLW US Equity,Dynamic,2009,Hardware. Global Display Components,,"24,04236686","5,271940686"
GLW US Equity,Dynamic,2010,Hardware. Global Display Components,,"9,860082863","3,947303981"
GLW US Equity,Dynamic,2011,Hardware. Global Display Components,,"6,100299738","2,063586819"
GLW US Equity,Dynamic,2012,Hardware. Global Display Components,,"7,312683824","1,986070894"
GLW US Equity,Dynamic,2013,Hardware. Global Display Components,,"9,708040455","2,946307712"
GLW US Equity,Dynamic,2014,Hardware. Global Display Components,,"9,19221335","2,962513639"
GLW US Equity,Dynamic,2015,Hardware. Global Display Components,,"9,135434956","2,512720887"
GLW US Equity,Dynamic,2016,Hardware. Global Display Components,,"8,954570447","2,497552716"
GLW US Equity,Dynamic,2017,Hardware. Global Display Components,,"11,07390456","3,027918149"
GLW US Equity,Dynamic,2018,Hardware. Global Display Components,,"10,40532775","2,643266608"
GLW US Equity,Dynamic,2019,Hardware. Global Display Components,,"10,58674203","2,686490481"
GLW US Equity,Dynamic,2020,Hardware. Global Display Components,,"16,67900093","3,190303459"
GLW US Equity,Dynamic,2021,Hardware. Global Display Components,"7,115794972","9,863049303","2,613897174"
GLW US Equity,Dynamic,2022,Hardware. Global Display Components,"7,387047506","10,76707935","2,304575375"
GLW US Equity,Dynamic,2023,Hardware. Global Display Components,"8,922196098","13,16502058","2,541388624"
GLW US Equity,Dynamic,2024,Hardware. Global Display Components,"12,40226268",,
Harware Global Display Components,Average,1987,Hardware. Global Display Components,,"7,821904463","1,099128331"
Harware Global Display Components,Average,1988,Hardware. Global Display Components,,"10,11503925","1,639670957"
Harware Global Display Components,Average,1989,Hardware. Global Display Components,,"10,87916253","1,820627338"
Harware Global Display Components,Average,1990,Hardware. Global Display Components,,"9,185706026","1,623469272"
Harware Global Display Components,Average,1991,Hardware. Global Display Components,,"13,86384236","1,926241745"
Harware Global Display Components,Average,1992,Hardware. Global Display Components,,"11,85429985","1,4926551"
